log_file,status,d,m_iter,newton,multiplicative_depth,num_slots,keygen_ms,server_ms,bootstrap_count,bootstrap_ms,lambda1_he,lambda1_true,lambda1_error_pct,lambda1_cos_sim,r2v,r2x_enc,r2x_true,r2x_gap,explained_variance_ratio,trace
experiments/logs/d100_m5_rank20_noise2.0_k4.log,ok,100,5,2,36,16384,13104.2,3459230.9,8,84239.9,102.8439,105.3455,2.37,0.9981,-0.0707,0.3081,0.3409,0.0328,0.3409,595.7710
experiments/logs/d1024_m5_rank50_noise2.0_k4.log,ok,1024,5,2,36,16384,13326.4,4015506.4,8,132822.0,27.3199,114.2317,76.08,0.7247,-0.4909,0.0308,0.0562,0.0254,0.0562,4292.8646
experiments/logs/d256_m5_rank30_noise2.0_k4.log,ok,256,5,2,36,16384,13234.8,887893.8,8,62187.1,91.2973,100.2698,8.95,0.8593,-0.0176,0.1435,0.1711,0.0276,0.1711,1218.0015
experiments/logs/d50_m5_rank20_noise2.0_k4.log,ok,50,5,2,36,16384,12679.7,226001.3,8,58986.7,100.4668,103.3457,2.79,0.9989,0.1738,0.4248,0.5090,0.0841,0.5090,396.6637
experiments/logs/d512_m5_rank50_noise2.0_k4.log,ok,512,5,2,36,16384,13186.3,1753182.3,8,73190.5,86.1539,108.7955,20.81,0.4935,-0.3975,0.0810,0.0981,0.0171,0.0981,2242.8976
experiments/logs/d768_m5_rank50_noise2.0_k4.log,ok,768,5,2,36,16384,14621.4,3244438.6,8,74984.6,40.2563,112.4738,64.21,0.5889,-0.5747,0.0316,0.0701,0.0385,0.0701,3266.9915
experiments/logs/d784_m5_rank50_noise2.0_k4.log,ok,784,5,2,36,16384,13228.8,34161244.0,8,126521.5,9.1804,110.0226,91.66,0.1566,-0.8892,0.0109,0.0617,0.0508,0.0617,3329.0932
experiments/logs/repro_d100.log,ok,100,5,2,36,16384,14107.8,422814.7,8,74201.1,102.8258,105.3455,2.39,0.9982,-0.0656,0.3081,0.3409,0.0328,0.3409,595.7710
experiments/logs/repro_d256.log,ok,256,5,2,36,16384,13430.7,908469.4,8,67288.5,91.4239,100.2698,8.82,0.8574,-0.0213,0.1435,0.1711,0.0276,0.1711,1218.0015
experiments/logs/repro_d50.log,ok,50,5,2,36,16384,13645.2,227940.7,8,60923.3,100.4633,103.3457,2.79,0.9989,0.1705,0.4245,0.5090,0.0845,0.5090,396.6637
experiments/logs/repro_d784_230057.log,ok,784,5,2,36,16384,13200.0,4100666.4,8,113476.8,9.1330,110.0226,91.70,0.1515,-0.8925,0.0108,0.0617,0.0509,0.0617,3329.0932
experiments/logs/sanity_baseline_2151.log,ok,,2,2,19,16384,2270.6,9476.3,,,18.8658,23.5501,19.89,0.4176,-0.5354,,,,0.4570,95.1038
