# fashion_train60k_d256_m12_newton4.bin
# d=256 (16x16), K=4, N_dump=16
# 重建公式: x_hat = mean + V_K · V_K^T · (x - mean)
# 像素范围: 0..1.0

idx   MSE(HE)        MSE(EVD)       MSE diff
  0        0.0187         0.0196       -0.0010
  1        0.0366         0.0528       -0.0162
  2        0.0064         0.0054       +0.0010
  3        0.0190         0.0179       +0.0011
  4        0.0294         0.0240       +0.0054
  5        0.0373         0.0369       +0.0004
  6        0.0285         0.0182       +0.0103
  7        0.0441         0.0515       -0.0074
  8        0.0386         0.0245       +0.0141
  9        0.0930         0.0669       +0.0261
 10        0.0153         0.0231       -0.0078
 11        0.0734         0.0722       +0.0012
 12        0.0208         0.0203       +0.0005
 13        0.0138         0.0139       -0.0001
 14        0.0148         0.0142       +0.0005
 15        0.0260         0.0236       +0.0024

mean MSE(HE)  = 0.0322
mean MSE(EVD) = 0.0303
MSE gap (HE − EVD) = +0.0019
PSNR(HE)  ≈ 14.92 dB
PSNR(EVD) ≈ 15.18 dB
