# mnist_train60k_d256_m12_newton4.bin
# d=256 (16x16), K=4, N_dump=16
# 重建公式: x_hat = mean + V_K · V_K^T · (x - mean)
# 像素范围: 0..1.0

idx   MSE(HE)        MSE(EVD)       MSE diff
  0        0.0442         0.0413       +0.0029
  1        0.0315         0.0281       +0.0034
  2        0.0472         0.0478       -0.0006
  3        0.0274         0.0237       +0.0037
  4        0.0297         0.0283       +0.0014
  5        0.0446         0.0432       +0.0014
  6        0.0332         0.0317       +0.0016
  7        0.0351         0.0342       +0.0008
  8        0.0217         0.0231       -0.0014
  9        0.0393         0.0306       +0.0087
 10        0.0282         0.0234       +0.0048
 11        0.0361         0.0307       +0.0054
 12        0.0750         0.0452       +0.0298
 13        0.0423         0.0427       -0.0003
 14        0.0236         0.0249       -0.0014
 15        0.0406         0.0307       +0.0099

mean MSE(HE)  = 0.0375
mean MSE(EVD) = 0.0331
MSE gap (HE − EVD) = +0.0044
PSNR(HE)  ≈ 14.26 dB
PSNR(EVD) ≈ 14.80 dB
