# yale_d256_m12_newton4.bin
# d=256 (16x16), K=4, N_dump=12
# 重建公式: x_hat = mean + V_K · V_K^T · (x - mean)
# 像素范围: 0..1.0

idx   MSE(HE)        MSE(EVD)       MSE diff
  0        0.0234         0.0213       +0.0022
  1        0.0174         0.0154       +0.0020
  2        0.0185         0.0176       +0.0009
  3        0.0223         0.0211       +0.0012
  4        0.0239         0.0228       +0.0011
  5        0.0219         0.0188       +0.0031
  6        0.0206         0.0234       -0.0028
  7        0.0216         0.0206       +0.0010
  8        0.0191         0.0161       +0.0030
  9        0.0218         0.0212       +0.0006
 10        0.0232         0.0209       +0.0023
 11        0.0179         0.0253       -0.0074

mean MSE(HE)  = 0.0210
mean MSE(EVD) = 0.0204
MSE gap (HE − EVD) = +0.0006
PSNR(HE)  ≈ 16.78 dB
PSNR(EVD) ≈ 16.91 dB
